Roll no,exam score
EXA000198,62
EXA000199,50
EXA000200,70
EXA000201,83
EXA000202,83
EXA000203,73
EXA000204,62
EXA000205,48
EXA000206,88
EXA000207,61
EXA000208,83
EXA000209,67
EXA000210,70
EXA000211,73
EXA000212,52
EXA000213,49
EXA000214,80
EXA000215,50
EXA000216,50
EXA000217,69
EXA000218,62
EXA000219,73
EXA000220,83
EXA000221,81
EXA000222,70
EXA000223,73
EXA000224,83
EXA000225,70
EXA000226,80
EXA000227,59
EXA000228,66
EXA000229,70
EXA000230,71
EXA000231,67
EXA000232,69
EXA000233,62
EXA000234,58
EXA000235,77
EXA000236,75
EXA000237,55
EXA000238,68
EXA000239,77
EXA000240,66
EXA000241,69
EXA000242,44
EXA000243,80
EXA000244,54
EXA000245,62
EXA000246,69
EXA000247,80
EXA000248,53
EXA000249,60
EXA000250,48
EXA000251,55
EXA000252,83
EXA000253,50
EXA000254,70
EXA000255,62
EXA000256,54
EXA000257,60
EXA000258,83
EXA000259,60
EXA000260,67
EXA000261,83
EXA000262,81
EXA000263,61
EXA000264,52
EXA000265,69
EXA000266,49
EXA000267,71
EXA000268,67
EXA000269,66
EXA000270,61
EXA000271,54
EXA000272,54
EXA000273,70
EXA000274,77
EXA000275,64
EXA000276,73
EXA000277,67
EXA000278,53
EXA000279,55
EXA000280,73
EXA000281,55
EXA000282,70
EXA000283,55
EXA000284,38
EXA000285,53
EXA000286,50
EXA000287,67
EXA000288,73
EXA000289,80
EXA000290,87
EXA000291,70
EXA000292,70
EXA000293,67
EXA000294,54
EXA000295,67
EXA000296,83
EXA000297,68
EXA000298,80
EXA000299,53
EXA000300,87
EXA000301,75
EXA000302,53
EXA000303,71
EXA000304,50
EXA000305,48
EXA000306,53
EXA000307,53
EXA000308,68
EXA000309,61
EXA000310,62
EXA000311,74
EXA000312,48
EXA000313,73
EXA000314,64
EXA000315,53
EXA000316,58
EXA000317,71
EXA000318,73
EXA000319,73
EXA000320,63
EXA000321,55
EXA000322,48
EXA000323,54
EXA000324,71
EXA000325,50
EXA000326,54
EXA000327,88
EXA000328,71
EXA000329,64
EXA000330,52
EXA000331,67
EXA000332,81
EXA000333,59
EXA000334,59
EXA000335,83
EXA000336,71
EXA000337,55
EXA000338,77
EXA000339,47
EXA000340,75
EXA000341,48
EXA000342,75
EXA000343,80
EXA000344,87
EXA000345,70
EXA000346,69
EXA000347,83
EXA000348,70
EXA000349,61
EXA000350,80
EXA000351,80
EXA000352,48
EXA000353,70
EXA000354,70
EXA000355,67
EXA000356,50
EXA000357,80
EXA000358,52
EXA000359,59
EXA000360,67
EXA000361,81
EXA000362,54
EXA000363,55
EXA000364,49
EXA000365,87
EXA000366,81
EXA000367,67
EXA000368,73
EXA000369,64
EXA000370,71
EXA000371,69
EXA000372,63
EXA000373,69
EXA000374,67
EXA000375,72
EXA000376,67
EXA000377,74
EXA000378,52
EXA000379,70
EXA000380,50
EXA000381,60
EXA000382,64
EXA000383,70
EXA000384,64
EXA000385,71
EXA000386,73
EXA000387,80
EXA000388,70
EXA000389,60
EXA000390,71
EXA000391,69
EXA000392,83
EXA000393,59
EXA000394,69
EXA000395,73
EXA000396,77
EXA000397,68
EXA000398,70
EXA000399,80
EXA000400,80
EXA000401,67
EXA000402,55
EXA000403,67
EXA000404,80
EXA000405,71
EXA000406,48
EXA000407,54
EXA000408,70
EXA000409,68
EXA000410,80
EXA000411,67
EXA000412,69
EXA000413,76
EXA000414,70
EXA000415,68
EXA000416,70
EXA000417,68
EXA000418,67
EXA000419,62
EXA000420,68
EXA000421,49
EXA000422,49
EXA000423,78
EXA000424,58
EXA000425,53
EXA000426,67
EXA000427,62
EXA000428,70
EXA000429,61
EXA000430,55
EXA000431,67
EXA000432,47
EXA000433,70
EXA000434,55
EXA000435,55
EXA000436,83
EXA000437,60
EXA000438,81
EXA000439,62
EXA000440,50
EXA000441,63
EXA000442,80
EXA000443,77
EXA000444,73
EXA000445,67
EXA000446,61
EXA000447,71
EXA000448,50
EXA000449,56
EXA000450,81
EXA000451,77
EXA000452,73
EXA000453,69
EXA000454,69
EXA000455,70
EXA000456,48
EXA000457,70
EXA000458,70
EXA000459,73
EXA000460,81
EXA000461,68
EXA000462,64
EXA000463,63
EXA000464,83
EXA000465,50
EXA000466,74
EXA000467,71
EXA000468,47
EXA000469,53
EXA000470,80
EXA000471,64
EXA000472,81
EXA000473,70
EXA000474,88
EXA000475,81
EXA000476,80
EXA000477,69
EXA000478,59
EXA000479,62
EXA000480,47
EXA000481,70
EXA000482,62
EXA000483,63
EXA000484,73
EXA000485,62
EXA000486,81
EXA000487,61
EXA000488,80
EXA000489,64
EXA000490,53
EXA000491,73
EXA000492,87
EXA000493,73
EXA000494,50
EXA000495,53
EXA000496,52
EXA000497,73
EXA000498,53
EXA000499,73
EXA000500,54
EXA000501,50
EXA000502,74
EXA000503,80
EXA000504,70
EXA000505,55
EXA000506,70
EXA000507,61
EXA000508,54
EXA000509,62
EXA000510,62
EXA000511,50
EXA000512,67
EXA000513,71
EXA000514,64
EXA000515,80
EXA000516,67
EXA000517,73
EXA000518,60
EXA000519,67
EXA000520,62
EXA000521,64
EXA000522,63
EXA000523,48
EXA000524,87
EXA000525,83
EXA000526,68
EXA000527,60
EXA000528,69
EXA000529,63
EXA000530,69
EXA000531,70
EXA000532,83
EXA000533,80
EXA000534,47
EXA000535,61
EXA000536,74
EXA000537,80
EXA000538,57
EXA000539,55
EXA000540,48
EXA000541,53
EXA000542,76
EXA000543,67
EXA000544,75
EXA000545,73
EXA000546,71
EXA000547,68
EXA000548,55
EXA000549,50
EXA000550,60
EXA000551,66
EXA000552,74
EXA000553,73
EXA000554,81
EXA000555,50
EXA000556,73
EXA000557,70
EXA000558,70
EXA000559,94
EXA000560,53
EXA000561,73
EXA000562,70
EXA000563,64
EXA000564,71
EXA000565,55
EXA000566,69
EXA000567,59
EXA000568,80
EXA000569,53
EXA000570,73
EXA000571,64
EXA000572,67
EXA000573,63
EXA000574,38
EXA000575,60
EXA000576,71
EXA000577,59
EXA000578,54
EXA000579,59
EXA000580,66
EXA000581,80
EXA000582,53
EXA000583,81
EXA000584,69
EXA000585,69
EXA000586,81
EXA000587,70
EXA000588,88
EXA000589,52
EXA000590,77
EXA000591,53
EXA000592,55
EXA000593,76
EXA000594,81
EXA000595,69
EXA000596,62
EXA000597,80
EXA000598,80
EXA000599,60
EXA000600,69
EXA000601,75
EXA000602,70
EXA000603,60
EXA000604,54
EXA000605,50
EXA000606,87
EXA000607,63
EXA000608,53
EXA000609,87
EXA000610,64
EXA000611,63
EXA000612,62
EXA000613,73
EXA000614,71
EXA000615,71
EXA000616,88
EXA000617,59
EXA000618,73
EXA000619,67
EXA000620,64
EXA000621,75
EXA000622,76
EXA000623,70
EXA000624,81
EXA000625,83
EXA000626,62
EXA000627,71
EXA000628,70
EXA000629,52
EXA000630,77
EXA000631,80
EXA000632,71
EXA000633,70
EXA000634,64
EXA000635,73
EXA000636,81
EXA000637,83
EXA000638,58
EXA000639,69
EXA000640,73
EXA000641,80
EXA000642,77
EXA000643,60
EXA000644,73
EXA000645,80
EXA000646,52
EXA000647,67
EXA000648,64
EXA000649,60
EXA000650,88
EXA000651,80
EXA000652,67
EXA000653,60
EXA000654,53
EXA000655,75
EXA000656,81
EXA000657,77
EXA000658,73
EXA000659,80
EXA000660,60
EXA000661,55
EXA000662,70
EXA000663,59
EXA000664,69
EXA000665,71
EXA000666,53
EXA000667,60
EXA000668,87
EXA000669,54
EXA000670,71
EXA000671,68
EXA000672,73
EXA000673,62
EXA000674,70
EXA000675,70
EXA000676,59
EXA000677,73
EXA000678,71
EXA000679,72
EXA000680,71
EXA000681,50
EXA000682,64
EXA000683,77
EXA000684,66
EXA000685,70
EXA000686,47
EXA000687,57
EXA000688,69
EXA000689,71
EXA000690,67
EXA000691,73
EXA000692,64
EXA000693,70
EXA000694,73
EXA000695,88
EXA000696,55
EXA000697,63
EXA000698,59
EXA000699,64
EXA000700,50
EXA000701,80
EXA000702,70
EXA000703,83
EXA000704,73
EXA000705,75
EXA000706,52
EXA000707,69
EXA000708,53
EXA000709,68
EXA000710,64
EXA000711,62
EXA000712,64
EXA000713,73
EXA000714,50
EXA000715,75
EXA000716,80
EXA000717,83
EXA000718,83
EXA000719,62
EXA000720,88
EXA000721,67
EXA000722,67
EXA000723,71
EXA000724,53
EXA000725,62
EXA000726,75
EXA000727,60
EXA000728,38
EXA000729,80
EXA000730,71
EXA000731,61
EXA000732,83
EXA000733,77
EXA000734,60
EXA000735,80
EXA000736,50
EXA000737,68
EXA000738,64
EXA000739,81
EXA000740,71
EXA000741,38
EXA000742,62
EXA000743,71
EXA000744,70
EXA000745,60
EXA000746,60
EXA000747,67
EXA000748,60
EXA000749,71
EXA000750,50
EXA000751,54
EXA000752,69
EXA000753,80
EXA000754,80
EXA000755,80
EXA000756,69
EXA000757,68
EXA000758,68
EXA000759,69
EXA000760,87
EXA000761,38
EXA000762,71
EXA000763,38
EXA000764,64
EXA000765,50
EXA000766,61
EXA000767,64
EXA000768,80
EXA000769,53
EXA000770,77
EXA000771,83
EXA000772,73
EXA000773,73
EXA000774,83
EXA000775,62
EXA000776,63
EXA000777,74
EXA000778,80
EXA000779,73
EXA000780,64
EXA000781,53
EXA000782,62
EXA000783,49
EXA000784,75
EXA000785,74
EXA000786,64
EXA000787,49
EXA000788,82
EXA000789,83
EXA000790,82
EXA000791,87
EXA000792,70
EXA000793,61
EXA000794,81
EXA000795,48
EXA000796,70
EXA000797,80
EXA000798,69
EXA000799,54
EXA000800,74
EXA000801,83
EXA000802,80
EXA000803,71
EXA000804,50
EXA000805,64
EXA000806,70
EXA000807,80
EXA000808,79
EXA000809,70
EXA000810,71
EXA000811,70
EXA000812,59
EXA000813,70
EXA000814,59
EXA000815,66
EXA000816,63
EXA000817,71
EXA000818,55
EXA000819,72
EXA000820,77
EXA000821,44
EXA000822,55
EXA000823,88
EXA000824,67
EXA000825,49
EXA000826,50
EXA000827,59
EXA000828,67
EXA000829,68
EXA000830,80
EXA000831,66
EXA000832,50
EXA000833,63
EXA000834,73
EXA000835,73
EXA000836,70
EXA000837,80
EXA000838,83
EXA000839,75
EXA000840,71
EXA000841,88
EXA000842,50
EXA000843,70
EXA000844,80
EXA000845,81
EXA000846,52
EXA000847,80
EXA000848,73
EXA000849,73
EXA000850,59
EXA000851,60
EXA000852,64
EXA000853,68
EXA000854,80
EXA000855,54
EXA000856,80
EXA000857,88
EXA000858,80
EXA000859,68
EXA000860,68
EXA000861,44
EXA000862,67
EXA000863,80
EXA000864,47
EXA000865,64
EXA000866,73
EXA000867,64
EXA000868,71
EXA000869,73
EXA000870,73
EXA000871,68
EXA000872,60
EXA000873,57
EXA000874,53
EXA000875,54
EXA000876,63
EXA000877,62
EXA000878,80
EXA000879,63
EXA000880,80
EXA000881,83
EXA000882,54
EXA000883,69
EXA000884,77
EXA000885,62
EXA000886,71
EXA000887,87
EXA000888,80
EXA000889,73
EXA000890,59
EXA000891,48
EXA000892,73
EXA000893,81
EXA000894,62
EXA000895,70
EXA000896,63
EXA000897,87
EXA000898,87
EXA000899,62
EXA000900,68
EXA000901,68
EXA000902,80
EXA000903,73
EXA000904,61
EXA000905,81
EXA000906,80
EXA000907,83
EXA000908,80
EXA000909,81
EXA000910,62
EXA000911,82
EXA000912,55
EXA000913,71
EXA000914,70
EXA000915,74
EXA000916,73
EXA000917,66
EXA000918,67
EXA000919,59
EXA000920,83
EXA000921,60
EXA000922,62
EXA000923,62
EXA000924,70
EXA000925,71
EXA000926,70
EXA000927,52
EXA000928,60
EXA000929,70
EXA000930,62
EXA000931,88
EXA000932,59
EXA000933,60
EXA000934,68
EXA000935,71
EXA000936,60
EXA000937,76
EXA000938,87
EXA000939,73
EXA000940,88
EXA000941,88
EXA000942,70
EXA000943,70
EXA000944,54
EXA000945,50
EXA000946,69
EXA000947,88
EXA000948,58
EXA000949,70
EXA000950,68
EXA000951,59
EXA000952,60
EXA000953,55
EXA000954,80
EXA000955,53
EXA000956,83
EXA000957,63
EXA000958,50
EXA000959,62
EXA000960,68
EXA000961,67
EXA000962,88
EXA000963,53
EXA000964,81
EXA000965,64
EXA000966,81
EXA000967,83
EXA000968,81
EXA000969,80
EXA000970,53
EXA000971,77
EXA000972,73
EXA000973,67
EXA000974,85
EXA000975,74
EXA000976,53
EXA000977,70
EXA000978,69
EXA000979,71
EXA000980,75
EXA000981,80
EXA000982,71
EXA000983,71
EXA000984,71
EXA000985,67
EXA000986,70
EXA000987,53
EXA000988,69
EXA000989,81
EXA000990,71
EXA000991,64
EXA000992,73
EXA000993,66
EXA000994,73
EXA000995,61
EXA000996,76
EXA000997,58
EXA000998,70
EXA000999,49
EXA001000,64
EXA001001,77
EXA001002,69
EXA001003,69
EXA001004,60
EXA001005,69
EXA001006,73
EXA001007,69
EXA001008,77
EXA001009,69
EXA001010,64
EXA001011,81
EXA001012,65
EXA001013,80
EXA001014,77
EXA001015,77
EXA001016,73
EXA001017,44
EXA001018,69
EXA001019,62
EXA001020,67
EXA001021,85
EXA001022,77
EXA001023,70
EXA001024,73
EXA001025,70
EXA001026,73
EXA001027,70
EXA001028,62
EXA001029,65
EXA001030,83
EXA001031,80
EXA001032,61
EXA001033,71
EXA001034,66
EXA001035,68
EXA001036,59
EXA001037,59
EXA001038,67
EXA001039,38
EXA001040,77
EXA001041,74
EXA001042,63
EXA001043,68
EXA001044,74
EXA001045,77
EXA001046,59
EXA001047,63
EXA001048,77
EXA001049,72
EXA001050,71
EXA001051,73
EXA001052,54
EXA001053,67
EXA001054,77
EXA001055,70
EXA001056,50
EXA001057,58
EXA001058,68
EXA001059,60
EXA001060,83
EXA001061,60
EXA001062,80
EXA001063,64
EXA001064,73
EXA001065,66
EXA001066,66
EXA001067,59
EXA001068,81
EXA001069,85
EXA001070,64
EXA001071,80
EXA001072,52
EXA001073,69
EXA001074,70
EXA001075,70
EXA001076,66
EXA001077,63
EXA001078,73
EXA001079,88
EXA001080,75
EXA001081,71
EXA001082,68
EXA001083,87
EXA001084,74
EXA001085,71
EXA001086,67
EXA001087,49
EXA001088,80
EXA001089,81
EXA001090,81
EXA001091,60
EXA001092,67
EXA001093,70
EXA001094,69
EXA001095,70
EXA001096,73
EXA001097,53
EXA001098,70
EXA001099,75
EXA001100,87
EXA001101,69
EXA001102,58
EXA001103,73
EXA001104,75
EXA001105,77
EXA001106,67
EXA001107,71
EXA001108,62
EXA001109,80
EXA001110,73
EXA001111,83
EXA001112,67
EXA001113,73
EXA001114,62
EXA001115,52
EXA001116,55
EXA001117,60
EXA001118,73
EXA001119,68
EXA001120,80
EXA001121,75
EXA001122,62
EXA001123,75
EXA001124,73
EXA001125,52
EXA001126,71
EXA001127,66
EXA001128,59
EXA001129,59
EXA001130,59
EXA001131,70
EXA001132,73
EXA001133,67
EXA001134,70
EXA001135,73
EXA001136,63
EXA001137,52
EXA001138,65
EXA001139,62
EXA001140,87
EXA001141,77
EXA001142,80
EXA001143,64
EXA001144,69
EXA001145,62
EXA001146,77
EXA001147,73
EXA001148,70
EXA001149,72
EXA001150,62
EXA001151,64
EXA001152,77
EXA001153,81
EXA001154,55
EXA001155,73
EXA001156,62
EXA001157,50
EXA001158,69
EXA001159,62
EXA001160,74
EXA001161,70
EXA001162,77
EXA001163,77
EXA001164,74
EXA001165,53
EXA001166,72
EXA001167,81
EXA001168,61
EXA001169,94
EXA001170,60
EXA001171,67
EXA001172,70
EXA001173,62
EXA001174,59
EXA001175,59
EXA001176,71
EXA001177,71
EXA001178,63
EXA001179,67
EXA001180,76
EXA001181,53
EXA001182,94
EXA001183,79
EXA001184,68
EXA001185,61
EXA001186,82
EXA001187,74
EXA001188,67
EXA001189,62
EXA001190,62
EXA001191,70
EXA001192,71
EXA001193,71
EXA001194,68
EXA001195,62
EXA001196,81
EXA001197,68
EXA001198,62
EXA001199,70
EXA001200,73
EXA001201,62
EXA001202,77
EXA001203,64
EXA001204,73
EXA001205,75
EXA001206,73
EXA001207,54
EXA001208,69
EXA001209,67
EXA001210,72
EXA001211,50
EXA001212,74
EXA001213,64
EXA001214,59
EXA001215,73
EXA001216,77
EXA001217,70
EXA001218,64
EXA001219,73
EXA001220,59
EXA001221,63
EXA001222,80
EXA001223,71
EXA001224,64
EXA001225,70
EXA001226,70
EXA001227,59
EXA001228,83
EXA001229,70
EXA001230,64
EXA001231,77
EXA001232,68
EXA001233,62
EXA001234,82
EXA001235,63
EXA001236,66
EXA001237,61
EXA001238,64
EXA001239,77
EXA001240,49
EXA001241,78
EXA001242,53
EXA001243,80
EXA001244,62
EXA001245,55
EXA001246,58
EXA001247,63
EXA001248,66
EXA001249,60
EXA001250,64
EXA001251,71
EXA001252,64
EXA001253,54
EXA001254,66
EXA001255,60
EXA001256,82
EXA001257,60
EXA001258,68
EXA001259,52
EXA001260,50
EXA001261,55
EXA001262,44
EXA001263,64
EXA001264,69
EXA001265,69
EXA001266,81
EXA001267,71
EXA001268,54
EXA001269,76
EXA001270,59
EXA001271,54
EXA001272,69
EXA001273,70
EXA001274,77
EXA001275,49
EXA001276,88
EXA001277,64
EXA001278,59
EXA001279,73
EXA001280,54
EXA001281,50
EXA001282,49
EXA001283,64
EXA001284,70
EXA001285,79
EXA001286,70
EXA001287,87
EXA001288,59
EXA001289,69
EXA001290,58
EXA001291,61
EXA001292,77
EXA001293,67
EXA001294,77
EXA001295,62
EXA001296,62
EXA001297,60
EXA001298,59
EXA001299,67
EXA001300,58
EXA001301,55
EXA001302,58
EXA001303,64
EXA001304,81
EXA001305,58
EXA001306,59
EXA001307,77
EXA001308,66
EXA001309,54
EXA001310,81
EXA001311,69
EXA001312,62
EXA001313,67
EXA001314,62
EXA001315,65
EXA001316,69
EXA001317,60
EXA001318,69
EXA001319,62
EXA001320,81
EXA001321,62
EXA001322,58
EXA001323,83
EXA001324,71
EXA001325,61
EXA001326,69
EXA001327,66
EXA001328,68
EXA001329,54
EXA001330,77
EXA001331,67
EXA001332,38
EXA001333,77
EXA001334,60
EXA001335,49
EXA001336,75
EXA001337,74
EXA001338,70
EXA001339,59
EXA001340,66
EXA001341,77
EXA001342,72
EXA001343,71
EXA001344,81
EXA001345,67
EXA001346,94
EXA001347,77
EXA001348,70
EXA001349,67
EXA001350,81
EXA001351,68
EXA001352,60
EXA001353,83
EXA001354,60
EXA001355,70
EXA001356,64
EXA001357,75
EXA001358,49
EXA001359,66
EXA001360,62
EXA001361,81
EXA001362,85
EXA001363,69
EXA001364,68
EXA001365,52
EXA001366,70
EXA001367,69
EXA001368,77
EXA001369,59
EXA001370,81
EXA001371,73
EXA001372,71
EXA001373,80
EXA001374,63
EXA001375,75
EXA001376,58
EXA001377,69
EXA001378,71
EXA001379,67
EXA001380,75
EXA001381,63
EXA001382,59
EXA001383,73
EXA001384,71
EXA001385,54
EXA001386,69
EXA001387,69
EXA001388,80
EXA001389,62
EXA001390,70
EXA001391,70
EXA001392,71
EXA001393,68
EXA001394,74
EXA001395,75
EXA001396,75
EXA001397,47
EXA001398,55
EXA001399,67
EXA001400,75
EXA001401,65
EXA001402,72
EXA001403,58
EXA001404,61
EXA001405,67
EXA001406,59
EXA001407,66
EXA001408,70
EXA001409,73
EXA001410,60
EXA001411,67
EXA001412,71
EXA001413,72
EXA001414,80
EXA001415,58
EXA001416,60
EXA001417,54
EXA001418,54
EXA001419,71
EXA001420,81
EXA001421,63
EXA001422,73
EXA001423,75
EXA001424,53
EXA001425,73
EXA001426,67
EXA001427,70
EXA001428,54
EXA001429,81
EXA001430,74
EXA001431,62
EXA001432,60
EXA001433,68
EXA001434,75
EXA001435,81
EXA001436,54
EXA001437,69
EXA001438,73
EXA001439,68
EXA001440,73
EXA001441,81
EXA001442,81
EXA001443,70
EXA001444,64
EXA001445,53
EXA001446,81
EXA001447,71
EXA001448,70
EXA001449,70
EXA001450,82
EXA001451,64
EXA001452,73
EXA001453,70
EXA001454,53
EXA001455,80
EXA001456,59
EXA001457,70
EXA001458,53
EXA001459,67
EXA001460,81
EXA001461,54
EXA001462,71
EXA001463,62
EXA001464,67
EXA001465,55
EXA001466,62
EXA001467,81
EXA001468,75
EXA001469,77
EXA001470,59
EXA001471,65
EXA001472,70
EXA001473,66
EXA001474,70
EXA001475,62
EXA001476,44
EXA001477,68
EXA001478,64
EXA001479,82
EXA001480,80
EXA001481,60
EXA001482,80
EXA001483,61
EXA001484,79
EXA001485,71
EXA001486,71
EXA001487,71
EXA001488,62
EXA001489,77
EXA001490,56
EXA001491,62
EXA001492,60
EXA001493,73
EXA001494,62
EXA001495,77
EXA001496,62
EXA001497,54
EXA001498,72
EXA001499,59
EXA001500,73
EXA001501,77
EXA001502,67
EXA001503,67
EXA001504,73
EXA001505,71
EXA001506,62
EXA001507,56
EXA001508,70
EXA001509,77
EXA001510,60
EXA001511,77
EXA001512,73
EXA001513,75
EXA001514,55
EXA001515,60
EXA001516,55
EXA001517,49
EXA001518,70
EXA001519,62
EXA001520,66
EXA001521,83
EXA001522,60
EXA001523,52
EXA001524,61
EXA001525,59
EXA001526,63
EXA001527,73
EXA001528,83
EXA001529,75
EXA001530,78
EXA001531,53
EXA001532,77
EXA001533,83
EXA001534,78
EXA001535,72
EXA001536,49
EXA001537,54
EXA001538,73
EXA001539,69
EXA001540,63
EXA001541,59
EXA001542,70
EXA001543,60
EXA001544,71
EXA001545,54
EXA001546,62
EXA001547,70
EXA001548,62
EXA001549,77
EXA001550,60
EXA001551,53
EXA001552,70
EXA001553,67
EXA001554,81
EXA001555,65
EXA001556,61
EXA001557,88
EXA001558,52
EXA001559,66
EXA001560,71
EXA001561,62
EXA001562,66
EXA001563,68
EXA001564,94
EXA001565,52
EXA001566,70
EXA001567,53
EXA001568,64
EXA001569,71
EXA001570,54
EXA001571,63
EXA001572,73
EXA001573,73
EXA001574,54
EXA001575,70
EXA001576,62
EXA001577,70
EXA001578,62
EXA001579,70
EXA001580,67
EXA001581,55
EXA001582,70
EXA001583,69
EXA001584,66
EXA001585,62
EXA001586,67
EXA001587,54
EXA001588,61
EXA001589,83
EXA001590,68
EXA001591,62
EXA001592,73
EXA001593,74
EXA001594,71
EXA001595,61
EXA001596,52
EXA001597,67
EXA001598,77
EXA001599,64
EXA001600,66
EXA001601,68
EXA001602,70
EXA001603,62
EXA001604,69
EXA001605,60
EXA001606,55
EXA001607,81
EXA001608,71
EXA001609,87
EXA001610,52
EXA001611,70
EXA001612,81
EXA001613,81
EXA001614,70
EXA001615,85
EXA001616,54
EXA001617,94
EXA001618,67
EXA001619,72
EXA001620,67
EXA001621,71
EXA001622,55
EXA001623,71
EXA001624,67
EXA001625,44
EXA001626,75
EXA001627,80
EXA001628,83
EXA001629,59
EXA001630,55
EXA001631,71
EXA001632,83
EXA001633,80
EXA001634,73
EXA001635,67
EXA001636,73
EXA001637,74
EXA001638,70
EXA001639,49
EXA001640,68
EXA001641,70
EXA001642,50
EXA001643,80
EXA001644,77
EXA001645,62
EXA001646,81
EXA001647,70
EXA001648,88
EXA001649,60
EXA001650,63
EXA001651,59
EXA001652,59
EXA001653,67
EXA001654,79
EXA001655,72
EXA001656,69
EXA001657,62
EXA001658,69
EXA001659,69
EXA001660,67
EXA001661,67
EXA001662,53
EXA001663,71
EXA001664,68
EXA001665,58
EXA001666,70
EXA001667,67
EXA001668,73
EXA001669,73
EXA001670,67
EXA001671,85
EXA001672,59
EXA001673,67
EXA001674,60
EXA001675,64
EXA001676,60
EXA001677,69
EXA001678,71
EXA001679,71
EXA001680,70
EXA001681,70
EXA001682,52
EXA001683,71
EXA001684,48
EXA001685,63
EXA001686,59
EXA001687,74
EXA001688,70
EXA001689,70
EXA001690,59
EXA001691,80
EXA001692,53
EXA001693,81
EXA001694,62
EXA001695,73
EXA001696,54
EXA001697,71
EXA001698,63
EXA001699,83
EXA001700,67
EXA001701,81
EXA001702,68
EXA001703,70
EXA001704,67
EXA001705,73
EXA001706,68
EXA001707,62
EXA001708,62
EXA001709,70
EXA001710,54
EXA001711,88
EXA001712,59
EXA001713,68
EXA001714,77
EXA001715,49
EXA001716,87
EXA001717,69
EXA001718,70
EXA001719,67
EXA001720,62
EXA001721,85
EXA001722,61
EXA001723,62
EXA001724,58
EXA001725,70
EXA001726,70
EXA001727,62
EXA001728,77
EXA001729,83
EXA001730,81
EXA001731,79
EXA001732,62
EXA001733,60
EXA001734,69
EXA001735,64
EXA001736,82
EXA001737,55
EXA001738,67
EXA001739,70
EXA001740,71
EXA001741,60
EXA001742,50
EXA001743,44
EXA001744,77
EXA001745,73
EXA001746,58
EXA001747,58
