Roll no,test preparation ,gender,parental level of education,lunch,Section,practical score,viva score,exam score
EXA000045,completed,female,some high school,standard,Section E,89,93,93
EXA000046,none,female,bachelor's degree,standard,Section C,79,86,78
EXA000047,none,male,some high school,standard,Section C,67,66,66
EXA000048,completed,male,some high school,standard,Section D,82,74,75
EXA000049,completed,male,some high school,free/reduced,Section C,63,69,63
EXA000050,none,female,some college,free/reduced,Section D,71,83,80
EXA000051,none,female,associate's degree,standard,Section C,55,68,73
EXA000052,none,female,high school,free/reduced,Section B,61,74,71
EXA000053,none,female,associate's degree,free/reduced,Section B,35,34,36
EXA000054,none,male,high school,free/reduced,Section C,75,77,66
EXA000055,completed,female,some high school,free/reduced,Section B,73,91,88
EXA000056,none,female,high school,free/reduced,Section C,56,62,57
EXA000057,none,male,associate's degree,standard,Section D,80,70,73
EXA000058,completed,male,some high school,standard,Section C,83,81,78
EXA000059,completed,female,some college,free/reduced,Section D,64,82,80
EXA000060,none,female,some high school,standard,Section C,23,33,33
EXA000061,completed,female,some high school,free/reduced,Section D,41,58,59
EXA000062,completed,male,some college,standard,Section E,61,49,52
EXA000063,none,male,bachelor's degree,standard,Section B,63,46,46
EXA000064,completed,male,associate's degree,free/reduced,Section B,84,91,89
EXA000065,none,male,some college,standard,Section C,55,61,59
EXA000066,completed,male,associate's degree,standard,Section A,85,75,74
EXA000067,none,male,high school,standard,Section B,65,61,57
EXA000068,none,male,associate's degree,standard,Section C,88,80,81
EXA000069,completed,male,master's degree,free/reduced,Section D,91,93,95
EXA000070,none,female,some college,standard,Section A,51,46,42
EXA000071,completed,male,some college,standard,Section C,73,77,76
EXA000072,none,female,some college,standard,Section D,73,89,89
EXA000073,none,male,master's degree,standard,Section D,100,97,91
EXA000074,completed,female,some high school,standard,Section D,48,68,68
EXA000075,none,male,some college,standard,Section E,98,79,85
EXA000076,none,male,master's degree,standard,Section B,68,65,60
EXA000077,none,male,bachelor's degree,standard,Section C,64,62,58
EXA000078,completed,male,associate's degree,free/reduced,Section C,72,67,61
EXA000079,none,female,bachelor's degree,standard,Section C,63,74,75
EXA000080,none,male,some college,standard,Section C,43,51,38
EXA000081,none,male,some college,standard,Section D,80,75,74
EXA000082,none,female,some college,standard,Section C,71,88,83
EXA000083,completed,female,associate's degree,standard,Section C,91,96,97
EXA000084,completed,female,some college,standard,Section D,68,84,87
EXA000085,none,female,associate's degree,standard,Section B,73,80,78
EXA000086,completed,female,high school,free/reduced,Section B,75,90,95
EXA000087,none,male,some college,free/reduced,Section C,83,62,64
EXA000088,none,male,high school,standard,Section D,88,72,74
EXA000089,none,male,bachelor's degree,standard,Section C,59,50,53
EXA000090,none,male,associate's degree,standard,Section D,74,69,63
EXA000091,none,female,some college,free/reduced,Section C,43,58,60
EXA000092,none,female,high school,free/reduced,Section C,76,90,84
EXA000093,none,female,some high school,standard,Section D,74,75,74
EXA000094,completed,female,some high school,standard,Section B,69,76,72
EXA000095,none,female,some high school,standard,Section B,62,78,74
EXA000096,completed,male,associate's degree,free/reduced,Section C,61,58,56
EXA000097,none,male,some college,standard,Section E,88,81,77
EXA000098,completed,female,some high school,free/reduced,Section D,64,84,83
EXA000099,none,female,bachelor's degree,standard,Section B,65,79,73
EXA000100,completed,female,some college,standard,Section C,73,86,89
EXA000101,completed,female,master's degree,standard,Section C,50,64,63
EXA000102,completed,female,associate's degree,standard,Section B,63,72,78
EXA000103,none,female,bachelor's degree,standard,Section E,98,95,100
EXA000104,none,female,high school,standard,Section E,90,96,88
EXA000105,completed,male,high school,free/reduced,Section C,64,71,68
EXA000106,none,female,high school,free/reduced,Section B,38,55,52
EXA000107,none,female,bachelor's degree,standard,Section B,84,91,93
EXA000108,completed,male,high school,standard,Section D,81,74,79
EXA000109,none,male,master's degree,standard,Section D,82,84,81
EXA000110,completed,female,associate's degree,free/reduced,Section D,64,67,75
EXA000111,none,female,high school,standard,Section B,55,60,67
EXA000112,completed,female,bachelor's degree,free/reduced,Section D,59,78,80
EXA000113,none,female,some college,standard,Section E,83,90,88
EXA000114,completed,male,associate's degree,standard,Section B,76,79,80
EXA000115,completed,female,some high school,standard,Section D,83,95,97
EXA000116,none,female,associate's degree,standard,Section C,69,75,75
EXA000117,none,female,some college,free/reduced,Section C,43,65,60
EXA000118,none,female,associate's degree,free/reduced,Section C,52,65,60
EXA000119,none,female,some college,standard,Section C,56,58,55
EXA000120,completed,male,some high school,free/reduced,Section D,47,46,51
EXA000121,none,male,master's degree,standard,Section D,71,61,63
EXA000122,completed,female,master's degree,standard,Section C,66,70,83
EXA000123,none,male,some college,standard,Section C,81,65,60
EXA000124,none,female,master's degree,standard,Section E,85,90,88
EXA000125,none,female,master's degree,standard,Section E,76,77,77
EXA000126,none,female,some college,free/reduced,Section D,50,66,66
EXA000127,none,male,high school,standard,Section C,76,81,74
EXA000128,none,male,some college,standard,Section C,65,64,61
EXA000129,none,female,high school,standard,Section D,59,69,64
EXA000130,none,male,high school,standard,Section C,84,77,80
EXA000131,none,male,bachelor's degree,standard,Section E,85,77,78
EXA000132,none,female,associate's degree,standard,Section D,61,56,60
EXA000133,completed,female,bachelor's degree,standard,Section A,73,79,81
EXA000134,none,male,some high school,standard,Section D,82,77,72
EXA000135,none,female,associate's degree,standard,Section E,75,70,71
EXA000136,none,male,bachelor's degree,standard,Section C,91,83,82
EXA000137,none,female,master's degree,standard,Section C,67,78,80
EXA000138,completed,male,high school,standard,Section D,62,69,67
EXA000139,none,male,master's degree,standard,Section B,61,56,52
EXA000140,none,female,high school,standard,Section C,66,77,80
EXA000141,none,male,master's degree,standard,Section A,59,57,51
EXA000142,none,male,some college,standard,Section E,88,76,81
EXA000143,none,female,associate's degree,free/reduced,Section B,67,73,74
EXA000144,completed,female,associate's degree,standard,Section B,91,99,100
EXA000145,completed,male,associate's degree,free/reduced,Section C,87,82,79
EXA000146,completed,male,some college,standard,Section B,83,79,80
EXA000147,none,female,associate's degree,standard,Section D,70,79,76
EXA000148,none,male,associate's degree,standard,Section E,83,83,78
EXA000149,none,male,associate's degree,standard,Section C,49,53,47
EXA000150,completed,male,high school,standard,Section D,65,60,57
EXA000151,completed,male,associate's degree,free/reduced,Section B,50,56,55
EXA000152,none,male,some college,standard,Section A,62,58,57
EXA000153,none,male,bachelor's degree,standard,Section E,56,50,50
EXA000154,none,female,associate's degree,standard,Section C,44,49,53
EXA000155,none,female,some high school,free/reduced,Section E,63,72,60
EXA000156,completed,male,high school,standard,Section D,72,69,74
EXA000157,completed,female,bachelor's degree,free/reduced,Section D,64,77,77
EXA000158,completed,female,some college,standard,Section B,61,75,82
EXA000159,none,male,some college,free/reduced,Section D,82,72,69
EXA000160,completed,female,some high school,standard,Section A,57,68,74
EXA000161,none,male,master's degree,standard,Section E,43,45,38
EXA000162,none,male,some high school,standard,Section D,69,56,59
EXA000163,none,female,master's degree,standard,Section D,62,71,74
EXA000164,none,female,some high school,standard,Section B,60,73,68
EXA000165,none,male,high school,standard,Section E,81,70,70
EXA000166,completed,female,associate's degree,free/reduced,Section C,68,84,87
EXA000167,none,male,associate's degree,standard,Section C,65,63,57
EXA000168,none,female,high school,standard,Section B,59,72,67
EXA000169,none,female,associate's degree,standard,Section B,81,89,86
EXA000170,none,male,master's degree,free/reduced,Section A,84,85,87
EXA000171,completed,female,high school,standard,Section A,56,68,70
EXA000172,completed,male,master's degree,free/reduced,Section B,71,75,73
EXA000173,none,female,master's degree,free/reduced,Section D,93,98,94
EXA000174,none,female,high school,standard,Section C,77,81,85
EXA000175,none,male,some college,standard,Section C,50,40,44
EXA000176,none,female,some college,standard,Section D,75,75,78
EXA000177,none,female,bachelor's degree,standard,Section C,64,82,80
EXA000178,none,male,bachelor's degree,standard,Section C,77,65,69
EXA000179,completed,female,some high school,standard,Section A,64,81,87
EXA000180,none,male,some high school,standard,Section B,71,63,55
EXA000181,completed,male,some high school,free/reduced,Section D,58,57,53
EXA000182,none,female,high school,free/reduced,Section D,47,66,66
EXA000183,none,male,associate's degree,standard,Section D,57,63,54
EXA000184,completed,male,some college,standard,Section C,82,89,86
EXA000185,none,female,master's degree,standard,Section B,53,61,59
EXA000186,completed,female,associate's degree,free/reduced,Section C,89,98,99
EXA000187,completed,female,some college,standard,Section E,89,94,94
EXA000188,completed,female,some college,free/reduced,Section A,75,97,92
EXA000189,none,male,some college,free/reduced,Section D,62,61,57
EXA000190,none,female,high school,standard,Section B,63,76,67
EXA000191,none,male,high school,standard,Section E,100,91,85
EXA000192,none,female,associate's degree,standard,Section B,62,81,77
EXA000193,none,female,associate's degree,standard,Section B,75,95,94
EXA000194,none,male,some college,standard,Section C,51,56,53
EXA000195,none,male,master's degree,free/reduced,Section E,74,67,67
EXA000196,none,male,high school,free/reduced,Section C,66,66,58
EXA000197,completed,male,some high school,standard,Section C,52,59,59
EXA000198,none,male,master's degree,free/reduced,Section E,69,56,56
EXA000199,completed,female,some high school,free/reduced,Section E,46,57,57
EXA000200,none,female,some college,standard,Section E,74,77,73
EXA000201,none,male,master's degree,standard,Section B,100,90,88
EXA000202,none,male,some high school,standard,Section A,83,77,77
EXA000203,completed,male,associate's degree,free/reduced,Section D,82,78,90
EXA000204,none,female,high school,standard,Section D,58,66,70
EXA000205,completed,male,some high school,free/reduced,Section A,59,55,58
EXA000206,none,female,high school,standard,Section D,77,90,82
EXA000207,none,female,high school,standard,Section E,61,61,57
EXA000208,none,male,master's degree,standard,Section C,85,81,80
EXA000209,completed,female,high school,free/reduced,Section E,59,68,68
EXA000210,completed,female,master's degree,free/reduced,Section C,71,92,93
EXA000211,none,female,some high school,standard,Section E,52,71,70
EXA000212,none,female,some college,standard,Section D,62,62,68
EXA000213,none,male,associate's degree,standard,Section B,47,48,49
EXA000214,completed,male,some college,standard,Section D,96,92,88
EXA000215,none,female,some high school,standard,Section E,48,60,57
EXA000216,none,male,high school,free/reduced,Section C,20,25,15
EXA000217,none,female,some high school,standard,Section C,70,75,76
EXA000218,completed,male,high school,free/reduced,Section B,59,62,58
EXA000219,none,female,associate's degree,free/reduced,Section E,80,80,83
EXA000220,none,female,some college,standard,Section B,83,88,90
EXA000221,none,male,bachelor's degree,standard,Section C,75,71,76
EXA000222,completed,male,some college,free/reduced,Section D,73,68,72
EXA000223,none,female,associate's degree,standard,Section C,78,78,82
EXA000224,completed,male,bachelor's degree,standard,Section B,94,82,93
EXA000225,completed,female,some high school,free/reduced,Section B,46,63,66
EXA000226,completed,male,some college,free/reduced,Section D,77,77,77
EXA000227,none,male,some high school,standard,Section B,63,56,47
EXA000228,completed,male,bachelor's degree,standard,Section B,64,70,72
EXA000229,none,female,some high school,free/reduced,Section D,60,69,70
EXA000230,none,female,some college,standard,Section D,74,79,73
EXA000231,none,female,high school,free/reduced,Section B,67,77,81
EXA000232,completed,male,high school,standard,Section C,78,81,80
EXA000233,completed,male,high school,standard,Section C,88,75,72
EXA000234,completed,female,associate's degree,free/reduced,Section C,52,64,66
EXA000235,none,male,high school,standard,Section C,88,66,73
EXA000236,completed,male,high school,standard,Section A,78,88,85
EXA000237,none,female,high school,standard,Section C,55,62,61
EXA000238,none,female,some college,standard,Section C,71,69,73
EXA000239,none,male,high school,free/reduced,Section C,75,79,68
EXA000240,completed,male,bachelor's degree,standard,Section B,62,60,55
EXA000241,completed,female,bachelor's degree,standard,Section B,66,73,72
EXA000242,none,male,bachelor's degree,standard,Section D,39,45,36
EXA000243,none,male,some college,standard,Section B,85,80,73
EXA000244,none,female,high school,free/reduced,Section B,46,57,53
EXA000245,completed,male,master's degree,free/reduced,Section C,57,64,66
EXA000246,completed,female,associate's degree,standard,Section B,65,78,81
EXA000247,none,male,some college,standard,Section C,86,82,72
EXA000248,none,male,some high school,standard,Section C,59,50,41
EXA000249,completed,female,some high school,free/reduced,Section D,49,69,68
EXA000250,none,male,some college,free/reduced,Section B,51,50,44
EXA000251,none,female,associate's degree,standard,Section A,53,57,60
EXA000252,none,female,some college,standard,Section C,82,84,83
EXA000253,none,female,high school,free/reduced,Section C,51,68,66
EXA000254,none,female,some high school,standard,Section D,74,79,79
EXA000255,none,female,master's degree,free/reduced,Section D,73,72,75
EXA000256,none,female,high school,free/reduced,Section D,42,61,63
EXA000257,completed,female,some college,free/reduced,Section C,41,59,56
EXA000258,none,female,some college,standard,Section C,84,88,84
EXA000259,completed,female,some college,free/reduced,Section D,64,66,62
EXA000260,none,female,high school,free/reduced,Section E,74,88,75
EXA000261,none,male,associate's degree,standard,Section C,91,84,77
EXA000262,none,male,associate's degree,standard,Section D,67,72,65
EXA000263,none,female,high school,standard,Section B,54,56,59
EXA000264,none,female,master's degree,standard,Section D,44,39,37
EXA000265,completed,female,master's degree,standard,Section C,65,84,86
EXA000266,none,male,associate's degree,standard,Section A,37,40,36
EXA000267,none,female,associate's degree,free/reduced,Section A,58,75,78
EXA000268,none,female,bachelor's degree,free/reduced,Section C,69,78,78
EXA000269,none,male,some high school,standard,Section C,64,56,51
EXA000270,none,female,high school,standard,Section C,70,63,63
EXA000271,none,female,high school,free/reduced,Section B,55,68,66
EXA000272,completed,female,some college,standard,Section B,45,63,67
EXA000273,completed,male,some college,standard,Section E,80,70,71
EXA000274,none,male,some college,standard,Section A,77,73,69
EXA000275,none,male,bachelor's degree,free/reduced,Section B,57,54,44
EXA000276,none,female,bachelor's degree,standard,Section C,67,72,72
EXA000277,none,female,master's degree,standard,Section A,68,70,72
EXA000278,none,male,high school,standard,Section C,49,53,43
EXA000279,none,female,associate's degree,standard,Section D,42,48,42
EXA000280,none,female,associate's degree,standard,Section E,96,93,100
EXA000281,none,female,bachelor's degree,free/reduced,Section C,55,56,54
EXA000282,none,male,master's degree,standard,Section D,70,65,56
EXA000283,none,male,bachelor's degree,free/reduced,Section C,51,53,51
EXA000284,completed,female,some college,free/reduced,Section B,27,49,50
EXA000285,none,male,high school,standard,Section D,60,54,47
EXA000286,none,female,some high school,standard,Section B,44,56,47
EXA000287,completed,female,high school,standard,Section C,63,73,74
EXA000288,none,female,associate's degree,standard,Section C,72,77,75
EXA000289,none,female,some high school,standard,Section D,82,77,80
EXA000290,completed,female,bachelor's degree,standard,Section B,82,85,99
EXA000291,none,female,some high school,standard,Section A,70,82,83
EXA000292,completed,male,high school,free/reduced,Section E,76,61,61
EXA000293,completed,female,bachelor's degree,free/reduced,Section C,62,68,74
EXA000294,none,female,high school,free/reduced,Section B,58,62,54
EXA000295,none,female,high school,standard,Section A,61,73,70
EXA000296,completed,male,bachelor's degree,standard,Section B,88,82,82
EXA000297,none,female,some college,standard,Section C,61,64,54
EXA000298,completed,male,high school,standard,Section D,88,77,78
EXA000299,none,male,some high school,free/reduced,Section E,57,45,46
EXA000300,completed,female,high school,standard,Section D,92,95,93
EXA000301,none,male,master's degree,standard,Section C,80,79,73
EXA000302,none,male,some high school,standard,Section A,62,54,52
EXA000303,none,female,some college,standard,Section D,71,74,80
EXA000304,none,female,high school,free/reduced,Section D,54,58,63
EXA000305,none,male,some college,free/reduced,Section A,43,43,40
EXA000306,none,female,some college,standard,Section C,51,57,60
EXA000307,none,male,some high school,standard,Section C,57,46,44
EXA000308,completed,male,some high school,standard,Section C,62,71,62
EXA000309,none,female,some high school,standard,Section B,48,59,55
EXA000310,completed,male,associate's degree,free/reduced,Section C,61,69,62
EXA000311,completed,female,some high school,standard,Section D,94,91,98
EXA000312,none,male,some college,free/reduced,Section B,44,45,41
EXA000313,none,female,associate's degree,standard,Section C,56,71,70
EXA000314,none,male,associate's degree,free/reduced,Section D,68,69,55
EXA000315,none,male,some college,free/reduced,Section D,61,53,48
EXA000316,completed,female,high school,standard,Section C,49,68,67
EXA000317,none,female,some college,standard,Section D,71,71,76
EXA000318,none,female,some high school,standard,Section E,78,86,80
EXA000319,none,male,associate's degree,standard,Section D,74,70,63
EXA000320,none,male,high school,standard,Section C,66,63,63
EXA000321,none,male,some high school,free/reduced,Section C,61,56,53
EXA000322,none,male,some college,free/reduced,Section D,59,45,44
EXA000323,none,female,high school,free/reduced,Section B,49,65,62
EXA000324,none,female,associate's degree,free/reduced,Section B,61,68,67
EXA000325,completed,female,bachelor's degree,free/reduced,Section C,54,57,63
EXA000326,completed,female,high school,free/reduced,Section B,45,61,63
EXA000327,completed,female,bachelor's degree,free/reduced,Section D,81,96,99
EXA000328,none,female,associate's degree,standard,Section B,71,87,87
EXA000329,none,male,associate's degree,standard,Section B,67,60,61
EXA000330,none,female,some college,standard,Section D,56,53,58
EXA000331,completed,female,high school,free/reduced,Section B,60,66,64
EXA000332,none,male,associate's degree,standard,Section D,95,86,83
EXA000333,none,male,some college,standard,Section B,60,59,53
EXA000334,none,male,some college,standard,Section B,60,55,52
EXA000335,none,male,bachelor's degree,standard,Section B,82,68,69
EXA000336,none,male,some college,free/reduced,Section B,78,68,70
EXA000337,none,female,associate's degree,standard,Section C,57,67,64
EXA000338,none,male,some college,standard,Section A,72,77,67
EXA000339,none,female,some high school,standard,Section B,37,51,43
EXA000340,none,male,some college,standard,Section C,72,76,64
EXA000341,none,male,some college,free/reduced,Section B,52,57,49
EXA000342,completed,male,high school,standard,Section A,80,72,72
EXA000343,none,male,associate's degree,standard,Section D,89,78,76
EXA000344,completed,female,some college,standard,Section C,84,88,87
EXA000345,none,female,some high school,standard,Section B,67,73,76
EXA000346,completed,female,master's degree,standard,Section B,59,75,79
EXA000347,completed,male,some college,standard,Section C,95,85,80
EXA000348,none,female,master's degree,standard,Section B,71,68,68
EXA000349,none,female,high school,standard,Section C,72,76,74
EXA000350,completed,male,high school,standard,Section E,83,80,82
EXA000351,none,male,some high school,standard,Section E,94,86,82
EXA000352,completed,male,some college,free/reduced,Section B,58,57,58
EXA000353,completed,male,bachelor's degree,standard,Section C,75,62,65
EXA000354,none,female,some high school,free/reduced,Section B,65,83,77
EXA000355,completed,female,bachelor's degree,free/reduced,Section C,68,78,83
EXA000356,none,female,some high school,free/reduced,Section C,34,44,43
EXA000357,none,male,some college,standard,Section E,97,96,89
EXA000358,none,female,high school,standard,Section D,44,47,55
EXA000359,completed,male,some high school,standard,Section D,60,57,60
EXA000360,completed,female,high school,free/reduced,Section C,66,81,75
EXA000361,none,male,high school,standard,Section E,96,94,93
EXA000362,none,female,high school,free/reduced,Section B,39,60,52
EXA000363,none,male,some college,free/reduced,Section C,56,57,62
EXA000364,none,male,high school,standard,Section C,31,27,19
EXA000365,completed,female,bachelor's degree,standard,Section C,74,79,84
EXA000366,completed,male,bachelor's degree,standard,Section D,100,100,100
EXA000367,completed,female,high school,standard,Section A,68,75,73
EXA000368,completed,female,associate's degree,free/reduced,Section C,79,89,96
EXA000369,none,male,bachelor's degree,free/reduced,Section E,62,69,60
EXA000370,none,female,associate's degree,standard,Section A,72,85,81
EXA000371,none,female,some college,standard,Section C,66,78,75
EXA000372,completed,male,high school,standard,Section C,64,66,69
EXA000373,none,female,some high school,standard,Section C,62,64,64
EXA000374,completed,female,bachelor's degree,free/reduced,Section E,68,82,86
EXA000375,completed,male,some college,free/reduced,Section C,70,75,74
EXA000376,none,female,bachelor's degree,free/reduced,Section E,63,61,64
EXA000377,completed,female,high school,standard,Section D,91,100,100
EXA000378,none,female,some college,standard,Section D,58,62,63
EXA000379,none,male,some college,standard,Section E,75,66,59
EXA000380,none,female,associate's degree,free/reduced,Section C,44,55,61
EXA000381,none,female,some college,free/reduced,Section C,68,64,64
EXA000382,none,male,bachelor's degree,free/reduced,Section C,65,61,57
EXA000383,completed,female,some college,free/reduced,Section D,66,71,87
EXA000384,none,male,bachelor's degree,free/reduced,Section C,73,69,70
EXA000385,none,female,associate's degree,free/reduced,Section B,67,76,76
EXA000386,none,female,associate's degree,free/reduced,Section C,66,73,69
EXA000387,none,male,some college,standard,Section E,81,78,68
EXA000388,none,male,some high school,standard,Section E,77,62,57
EXA000389,none,female,some college,free/reduced,Section D,43,48,53
EXA000390,none,female,bachelor's degree,standard,Section C,58,70,72
EXA000391,none,male,some college,free/reduced,Section C,65,77,70
EXA000392,none,male,high school,standard,Section C,92,89,83
EXA000393,completed,male,some high school,standard,Section D,56,48,54
EXA000394,none,female,master's degree,standard,Section D,65,73,77
EXA000395,none,male,associate's degree,standard,Section D,72,67,59
EXA000396,completed,male,some high school,standard,Section D,100,84,87
EXA000397,none,female,high school,standard,Section C,69,81,70
EXA000398,completed,male,some college,standard,Section D,70,66,68
EXA000399,none,male,high school,standard,Section E,90,80,78
EXA000400,none,male,high school,standard,Section C,90,79,75
EXA000401,completed,female,high school,standard,Section D,63,78,74
EXA000402,none,female,associate's degree,standard,Section D,40,51,51
EXA000403,none,female,high school,standard,Section A,64,72,66
EXA000404,none,male,some college,standard,Section C,90,76,71
EXA000405,none,male,some college,standard,Section C,76,74,73
EXA000406,none,male,some college,free/reduced,Section B,42,48,33
EXA000407,completed,female,bachelor's degree,free/reduced,Section D,45,68,71
EXA000408,none,male,bachelor's degree,standard,Section D,76,65,70
EXA000409,completed,male,some high school,standard,Section C,63,69,68
EXA000410,completed,male,some college,standard,Section E,84,77,79
EXA000411,none,female,bachelor's degree,free/reduced,Section A,62,75,73
EXA000412,completed,female,associate's degree,free/reduced,Section C,69,76,82
EXA000413,none,male,some high school,standard,Section C,77,79,76
EXA000414,none,male,bachelor's degree,standard,Section D,63,65,58
EXA000415,completed,male,high school,standard,Section C,72,67,67
EXA000416,none,male,associate's degree,standard,Section E,75,68,68
EXA000417,none,female,bachelor's degree,standard,Section C,61,66,71
EXA000418,none,female,high school,standard,Section A,79,97,85
EXA000419,none,female,high school,standard,Section D,53,66,64
EXA000420,completed,male,some college,standard,Section B,77,68,66
EXA000421,none,male,high school,free/reduced,Section A,44,49,43
EXA000422,none,male,high school,standard,Section B,44,50,37
EXA000423,completed,female,associate's degree,standard,Section C,71,84,88
EXA000424,completed,female,associate's degree,standard,Section B,60,65,67
EXA000425,none,male,some high school,standard,Section B,49,39,33
EXA000426,completed,female,high school,standard,Section A,82,95,93
EXA000427,none,male,master's degree,free/reduced,Section E,68,70,62
EXA000428,none,female,some high school,free/reduced,Section D,58,63,65
EXA000429,none,female,high school,standard,Section B,65,68,67
EXA000430,none,male,associate's degree,standard,Section C,50,42,35
EXA000431,completed,female,associate's degree,free/reduced,Section D,73,72,79
EXA000432,completed,male,some high school,free/reduced,Section D,40,50,47
EXA000433,completed,female,some high school,free/reduced,Section C,60,67,74
EXA000434,none,male,associate's degree,free/reduced,Section C,57,58,51
EXA000435,none,male,some college,free/reduced,Section C,57,60,57
EXA000436,none,female,some high school,standard,Section B,83,86,89
EXA000437,none,male,master's degree,standard,Section C,68,56,57
EXA000438,none,male,bachelor's degree,standard,Section D,74,76,73
EXA000439,none,male,master's degree,free/reduced,Section B,76,68,70
EXA000440,none,female,some high school,free/reduced,Section C,38,45,44
EXA000441,none,female,high school,standard,Section C,63,64,59
EXA000442,none,male,bachelor's degree,free/reduced,Section E,87,79,72
EXA000443,none,male,high school,free/reduced,Section E,81,84,78
EXA000444,none,female,associate's degree,standard,Section D,84,90,90
EXA000445,completed,female,high school,free/reduced,Section E,68,69,71
EXA000446,none,female,some high school,free/reduced,Section A,57,70,71
EXA000447,none,female,master's degree,standard,Section C,75,82,81
EXA000448,none,female,high school,free/reduced,Section C,39,50,41
EXA000449,completed,female,some high school,standard,Section D,54,77,78
EXA000450,none,male,associate's degree,standard,Section D,71,73,69
EXA000451,none,male,some college,standard,Section A,58,64,55
EXA000452,none,female,associate's degree,standard,Section D,61,70,73
EXA000453,completed,female,associate's degree,standard,Section D,82,85,94
EXA000454,completed,female,associate's degree,standard,Section D,73,87,83
EXA000455,none,female,some high school,standard,Section D,52,66,63
EXA000456,none,male,some high school,free/reduced,Section B,33,47,32
EXA000457,completed,male,associate's degree,standard,Section D,67,68,69
EXA000458,none,female,some high school,free/reduced,Section B,61,80,82
EXA000459,completed,female,associate's degree,standard,Section E,86,89,96
EXA000460,completed,male,bachelor's degree,standard,Section D,98,96,100
EXA000461,completed,male,some college,standard,Section C,72,56,63
EXA000462,none,male,associate's degree,free/reduced,Section B,60,59,52
EXA000463,none,male,some college,standard,Section C,66,68,62
EXA000464,completed,male,some high school,standard,Section C,86,89,87
EXA000465,none,female,high school,standard,Section B,45,52,51
EXA000466,none,female,some high school,standard,Section C,75,86,84
EXA000467,none,female,associate's degree,standard,Section A,51,69,65
EXA000468,none,female,high school,standard,Section C,21,30,26
EXA000469,none,male,high school,free/reduced,Section D,54,53,47
EXA000470,none,male,high school,standard,Section D,83,78,74
EXA000471,none,male,associate's degree,free/reduced,Section B,74,79,65
EXA000472,none,male,bachelor's degree,standard,Section C,73,67,73
EXA000473,completed,male,some high school,free/reduced,Section D,69,70,75
EXA000474,none,female,some college,standard,Section C,81,93,94
EXA000475,completed,male,bachelor's degree,standard,Section E,95,90,89
EXA000476,completed,male,some college,standard,Section E,97,88,81
EXA000477,completed,female,master's degree,standard,Section C,62,68,75
EXA000478,none,male,some high school,standard,Section C,63,57,59
EXA000479,completed,female,high school,standard,Section D,50,72,70
EXA000480,none,female,some high school,standard,Section D,25,33,32
EXA000481,none,male,some high school,standard,Section D,73,67,64
EXA000482,completed,male,associate's degree,free/reduced,Section D,57,58,54
EXA000483,none,male,high school,standard,Section C,64,62,61
